common cold,32.8,-45.942,20.6,28.927,0.428,0.345,36.4,38.811,16,33.586,16.2,14.498,-0.303,0.279,,,,,,
confirmed cases,500.4,(766.021,169.6,301.91,0.657,0.131,634,767.075,328,674.601,54.2,18.485,-0.094,0.089,,,,,,
cruise ship,1205.8,(1451.765,200.6,337.775,0.924,0.233,1159.4,1162.173,272.8,524.18,58.2,4.658,-0.05,0.054,,,,,,
ebola,306.4,(564.448,59.8,89.89,0.594,0.189,330,526.643,63.8,120.076,39.6,23.766,-0.228,0.175,,,,,,
face mask,666.4,(1011.022,214.8,378.547,0.738,0.102,634.8,785.061,143,286.411,56.2,11.432,0.21,0.122,,,2020,,2021,
flu,1421.6,(1986.153,400.2,707.913,0.79,0.094,1956.8,2179.68,1451.4,3062.37,66.8,11.713,-0.413,0.084,,September,1500,,21600,
hand sanitizer,503.6,(689.906,209.8,359.403,0.724,0.184,572.6,591.196,210,427.45,37,10.05,0.696,0.033,,October,1500,,,
health emergency,266,(392.55,140,245.618,1.388,0.321,258.4,335.337,56.8,119.874,35.2,18.887,-0.309,0.141,,November,1500,,,
malaria,133.6,(170.828,68,100.913,0.916,0.418,172.6,160.52,90.2,127.633,17.8,12.112,0.325,0.212,,Owed,360,,,
measles,14.6,(20.057,11.4,16.802,0.369,0.48,16.4,16.712,5,11.18,9.2,10.918,-0.317,0.647,,Sell Car in July,1200,,,700
medical supplies,262.6,(346.688,128.8,206.788,0.965,0.364,248,269.375,71.6,102.861,37.6,16.652,0.226,0.137,,Grading,1000,,,2000
panic buying,222,(280.917,100.4,160.95,0.726,0.192,328.6,369.553,221.2,459.125,31,15.668,-0.222,0.175,,May,1600,,,
school closure,350.8,(526.518,177.2,323.956,0.817,0.198,375.6,456.633,111.2,239.217,29.2,8.012,0.362,0.173,,June,1200,,,
shelter in place,429.4,(689.933,199.2,360.846,1.195,0.255,453.4,569.111,166.2,364.374,25.2,9.011,0.248,0.12,,June,1500,,,
social distancing,1493.6,(2297.037,560,1101.005,0.749,0.155,1675.2,1983.541,594.8,1186.164,24.2,3.962,0.375,0.161,,July,1500,,,
stimulus package,323.6,(431.335,125.4,211.304,1.076,0.452,319.8,351.906,58.2,110.005,27.4,15.027,0.363,0.101,,August,1500,,,
stock market,913.4,(1273.487,180.6,301.435,0.767,0.119,863,880.796,293.2,514.232,52.6,19.45,-0.241,0.208,,,14360,,,
test kits,238,(275.765,105.2,151.361,0.764,0.135,276.4,268.759,113.2,242.078,37.6,11.929,0.159,0.084,,,,,38660,
toilet paper,462.6,(590.083,181,295.821,0.831,0.069,584.6,568.403,294,556.403,33.2,6.573,0.022,0.125,,,,,,
travel ban,522.4,(693.1,172.8,288.328,2.113,0.421,642.8,553.629,333.8,485.566,49.4,12.876,-0.435,0.081,,,,,,